pasaj_id,span_no,banka,etiket,yakalanan,normal_deger,guven,baglam,ONAY_E_H,DUZELTILMIS_ETIKET,NOT
albaraka-b3d9d634601f-p000,0,albaraka,INDIRIM_ORANI,%25,"{""deger"": 25.0, ""birim"": ""yuzde""}",0.9,Arzum’da ⟪%25⟫ İndirim! Arzum’da indirim Albaraka’da! Eviniz için seçkin ü,,,
albaraka-5e57b63efae4-p002,0,albaraka,MASRAF_DURUMU,vade farksız,"{""metin"": ""vade farksız""}",0.95,30.000 TL- 500.000 TL arası okul ödemelerinize ⟪vade farksız⟫ 6 taksit fırsatını kaçırmayın!,,,
albaraka-5e57b63efae4-p010,0,albaraka,MASRAF_DURUMU,vade farksız,"{""metin"": ""vade farksız""}",0.95,Kampanya dönemi boyunca bir müşteri maksimum 2 kere ⟪vade farksız⟫ taksitlendirme işleminden yararlanabilir.,,,
albaraka-2f91d0554cdd-p006,0,albaraka,KAMPANYA_SURESI,1 Haziran - 30 Eylül 2026,"{""tarih"": ""2026-09-30""}",0.94,⟪1 Haziran - 30 Eylül 2026⟫ tarihlerinde geçerlidir.,,,
albaraka-57c3b5fde148-p005,0,albaraka,MASRAF_DURUMU,vade farksız,"{""metin"": ""vade farksız""}",0.95,100.000 TL’ye varan seçili sektörlerde ⟪vade farksız⟫ taksitli alışveriş fırsatından yararlanabiliyor.,,,
albaraka-57c3b5fde148-p019,0,albaraka,MASRAF_DURUMU,Vade Farksız,"{""metin"": ""vade farksız""}",0.95,⟪Vade Farksız⟫ Kullanım Alanları (Sektörler):,,,
albaraka-57c3b5fde148-p032,1,albaraka,TAKSIT_SAYISI,6 taksit,"{""deger"": 6, ""birim"": ""adet""}",0.93,: 100.000 TL’ye kadar Vade: Seçili sektörlerde vade farksız ⟪6 taksit⟫,,,
albaraka-57c3b5fde148-p036,1,albaraka,TAKSIT_SAYISI,6 Taksit,"{""deger"": 6, ""birim"": ""adet""}",0.93,"Albaraka Mobil üzerinden “Eğitim Harcamalarına Vade Farksız ⟪6 Taksit⟫!” kampanyasına katılın, Albaraka World kartlarınız ile yapa",,,
albaraka-03290cc71568-p000,1,albaraka,INDIRIM_ORANI,%50,"{""deger"": 50.0, ""birim"": ""yuzde""}",0.9,IM’den %50 İndirim! Yurtdışında internetsiz kalmamanız için ⟪%50⟫ Roamy eSIM indirimi Albaraka Mobil’de.,,,
albaraka-123679fd2f3a-p026,0,albaraka,INDIRIM_ORANI,%20,"{""deger"": 20.0, ""birim"": ""yuzde""}",0.9,Avantajlar Nelerdir? Cabs Coffee'de ⟪%20⟫ GastroClub İndirimi!,,,
albaraka-efff43972cf1-p003,0,albaraka,KAMPANYA_SURESI,01.08.2025-31.12.2025,"{""baslangic"": ""2025-08-01"", ""bitis"": ""2025-12-31""}",0.94,Kampanya Detayları Kampanya ⟪01.08.2025-31.12.2025⟫ tarihleri arasında geçerli olacaktır.,,,
albaraka-84561a7d12f7-p003,0,albaraka,KAMPANYA_SURESI,31 Aralık 2025 tarihine kadar,"{""bitis"": ""2025-12-31""}",0.9,Kampanya Koşulları Kampanya ⟪31 Aralık 2025 tarihine kadar⟫ geçerlidir.,,,
albaraka-3e771c247998-p005,0,albaraka,INDIRIM_ORANI,%10,"{""deger"": 10.0, ""birim"": ""yuzde""}",0.9,⟪%10⟫ indirim kodu 1500 TL'ye kadar yapılan alışverişlerde geçerl,,,
albaraka-713b6f854dc7-p006,0,albaraka,KAMPANYA_SURESI,30 Haziran 2026,"{""tarih"": ""2026-06-30""}",0.9,Kampanya Başlangıç ve Bitiş Tarihi: Kampanya 1-⟪30 Haziran 2026⟫ tarihlerinde geçerlidir.,,,
albaraka-2d30cd9acf45-p005,0,albaraka,INDIRIM_ORANI,%40,"{""deger"": 40.0, ""birim"": ""yuzde""}",0.9,⟪%40⟫ indirim kampanyasından 31.12.2026 tarihine kadar istediğini,,,
albaraka-aa5d95d6862c-p005,0,albaraka,KAMPANYA_SURESI,31 Temmuz 2026,"{""tarih"": ""2026-07-31""}",0.9,Kampanya Şartları: Kampanya 1-⟪31 Temmuz 2026⟫ tarihleri arasında “OFT2026” davet kodunu kullanarak görünt,,,
albaraka-5d387bdabe21-p000,0,albaraka,HARCAMA_ESIGI,10.000 TL ve üzeri,"{""deger"": 10000.0, ""birim"": ""TRY""}",0.9,föy Yönetimi müşterilerine özel kredi kartları ile yapacağı ⟪10.000 TL ve üzeri⟫ konaklama harcamasına %10 iade fırsatı!,,,
albaraka-e641d498c1fe-p000,0,albaraka,INDIRIM_ORANI,%80,"{""deger"": 80.0, ""birim"": ""yuzde""}",0.9,Uber'de İlk Yolculukta ⟪%80⟫ İndirim! Uber harcamalarınızda %80 indirim sizi bekliyor. G,,,
albaraka-37eff1531ee7-p000,1,albaraka,INDIRIM_ORANI,%25,"{""deger"": 25.0, ""birim"": ""yuzde""}",0.9,"ygulamasından sevdiklerinizi mutlu edecek hediyenizi seçin, ⟪%25⟫ indirim kodunuzu kaçırmayın.",,,
albaraka-c21bd7bf1ea4-p006,0,albaraka,KAMPANYA_SURESI,31 Temmuz 2026 tarihine kadar,"{""bitis"": ""2026-07-31""}",0.9,Kampanyadan ⟪31 Temmuz 2026 tarihine kadar⟫ faydalanabilirsin.,,,
albaraka-230070c39aaa-p005,0,albaraka,KAMPANYA_SURESI,31 Temmuz 2026,"{""tarih"": ""2026-07-31""}",0.9,Kampanya Detayları: Kampanya 1-⟪31 Temmuz 2026⟫ tarihleri arasında geçerlidir.,,,
albaraka-a0cb32c18fcb-p005,0,albaraka,KAMPANYA_SURESI,1 Temmuz – 31 Ağustos 2026,"{""tarih"": ""2026-08-31""}",0.94,Kampanya Başlangıç ve Bitiş Tarihi: Kampanya ⟪1 Temmuz – 31 Ağustos 2026⟫ tarihlerinde geçerlidir.,,,
albaraka-fc00bd01d9c0-p000,0,albaraka,INDIRIM_ORANI,%5,"{""deger"": 5.0, ""birim"": ""yuzde""}",0.9,Albaraka Konaklama Harcamanıza ⟪%5⟫ İndirim Kazandırıyor!,,,
albaraka-fc00bd01d9c0-p004,0,albaraka,KAMPANYA_SURESI,31 Ocak 2026,"{""tarih"": ""2026-01-31""}",0.9,Kampanya Başlangıç ve Bitiş Tarihi: Kampanya 1 – ⟪31 Ocak 2026⟫ tarihlerinde geçerlidir.,,,
albaraka-0c63aed9130d-p000,1,albaraka,TAKSIT_SAYISI,6 Taksit,"{""deger"": 6, ""birim"": ""adet""}",0.93,Sağlık Harcamalarına Vade Farksız ⟪6 Taksit⟫ Kampanyası,,,
albaraka-f340ae79c829-p009,0,albaraka,MASRAF_DURUMU,masrafsız,"{""metin"": ""masrafsız""}",0.95,", ⟪masrafsız⟫ bir şekilde yatırım işlemlerinizi gerçekleştirebilirsiniz.",,,
albaraka-d654bf839672-p004,0,albaraka,MASRAF_DURUMU,Masrafsız,"{""metin"": ""masrafsız""}",0.95,⟪Masrafsız⟫ Bankacılık Masrafsız! Dijital banka kartı ücretsizdir. Hiçb,,,
albaraka-4432cb9f7d53-p003,0,albaraka,HARCAMA_ESIGI,100.001 TL ve üzeri,"{""deger"": 100001.0, ""birim"": ""TRY""}",0.9,⟪100.001 TL ve üzeri⟫ arası finansmanlarda 12 Ay’a kadar vade imkanından faydalan,,,
dunya_katilim-5cc5f1f6d488-p001,0,dunya_katilim,TAKSIT_SAYISI,peşin fiyatına 3 taksit,"{""deger"": 3, ""birim"": ""adet""}",0.96,web adresinde Paraf POS’undan yapılacak alışverişlerinize ⟪peşin fiyatına 3 taksit⟫ imkanı sunulacaktır.,,,
dunya_katilim-1ea4bfcd5302-p012,0,dunya_katilim,HEDEF_KITLE,Yeni Müşteri,"{""metin"": ""yeni müşteri""}",0.9,"0,1 gram altın kazanırsın. Davet Edilen ⟪Yeni Müşteri⟫ Sayısı",,,
dunya_katilim-1ea4bfcd5302-p045,0,dunya_katilim,HEDEF_KITLE,Yeni Müşteri,"{""metin"": ""yeni müşteri""}",0.9,⟪Yeni Müşteri⟫ Kampanyaları Bitiş Tarihi: -,,,
dunya_katilim-0fbbcdee8806-p003,0,dunya_katilim,TAKSIT_SAYISI,12 taksit,"{""deger"": 12, ""birim"": ""adet""}",0.93,100 TL – 1.000 TL arası alışverişlerde vade farklı en fazla ⟪12 taksit⟫ uygulanmaktadır.,,,
dunya_katilim-0fbbcdee8806-p005,2,dunya_katilim,TAKSIT_SAYISI,6 taksit,"{""deger"": 6, ""birim"": ""adet""}",0.93,"6.000 TL ve üzeri alışverişlerde peşin fiyatına 6 taksit, ⟪6 taksit⟫ üzerindeki taksitlerde vade farkı uygulanmaktadır.",,,
dunya_katilim-0fbbcdee8806-p013,0,dunya_katilim,MASRAF_DURUMU,vade farksız,"{""metin"": ""vade farksız""}",0.95,"markalı akıllı saatler, Samsung ve Honor markalı tabletler ⟪vade farksız⟫ 6 taksit ve üzeri taksit kampanyalarına dahil değildir.",,,
dunya_katilim-fc927b76d445-p000,0,dunya_katilim,TAKSIT_SAYISI,6 aya varan taksit,"{""deger"": 6, ""birim"": ""adet"", ""sinir"": ""ust""}",0.93,V mağazalarında Paraf POS’larından yapılacak alışverişlerde ⟪6 aya varan taksit⟫ imkanı sunulacaktır.,,,
dunya_katilim-2c67278ab727-p006,0,dunya_katilim,KAMPANYA_SURESI,31 Ağustos 2026,"{""tarih"": ""2026-08-31""}",0.9,Paraf Kampanyaları Devam ediyor Bitiş Tarihi: ⟪31 Ağustos 2026⟫,,,
dunya_katilim-e476ba0441ff-p007,0,dunya_katilim,KAMPANYA_SURESI,31 Ağustos 2026,"{""tarih"": ""2026-08-31""}",0.9,Paraf Kampanyaları Devam ediyor Bitiş Tarihi: ⟪31 Ağustos 2026⟫,,,
dunya_katilim-a69cd4087eed-p000,0,dunya_katilim,TAKSIT_SAYISI,12 aya varan taksit,"{""deger"": 12, ""birim"": ""adet"", ""sinir"": ""ust""}",0.93,a ve yenilio.com’da Paraf POS’undan yapılacak alışverişlere ⟪12 aya varan taksit⟫ fırsatı sağlanacaktır.,,,
dunya_katilim-50260963799a-p000,2,dunya_katilim,HARCAMA_ESIGI,6.000 TL ve üzeri,"{""deger"": 6000.0, ""birim"": ""TRY""}",0.9,üzeri taksitli alışverişlerinizde peşin fiyatına 3 taksit; ⟪6.000 TL ve üzeri⟫ seçili ürünlerde peşin fiyatına 6 taksit; 10.000 TL ve üzer,,,
dunya_katilim-50260963799a-p006,0,dunya_katilim,TAKSIT_SAYISI,Peşin fiyatına 3 taksit,"{""deger"": 3, ""birim"": ""adet""}",0.96,⟪Peşin fiyatına 3 taksit⟫ kampanyası Trendyol Dolap uygulamasından yapılacak alışveri,,,
dunya_katilim-89de84db35a9-p008,0,dunya_katilim,KAMPANYA_SURESI,31 Ağustos 2026,"{""tarih"": ""2026-08-31""}",0.9,Paraf Kampanyaları Devam ediyor Bitiş Tarihi: ⟪31 Ağustos 2026⟫,,,
dunya_katilim-f7366ac6e080-p000,0,dunya_katilim,TAKSIT_SAYISI,6 aya varan taksit,"{""deger"": 6, ""birim"": ""adet"", ""sinir"": ""ust""}",0.93,tılım Paraf ile Paraf POS’larından yapılacak alışverişlerde ⟪6 aya varan taksit⟫ imkanı sunulacaktır.,,,
dunya_katilim-04fb5cc9cb1e-p010,0,dunya_katilim,KAMPANYA_SURESI,31 Ağustos 2026,"{""tarih"": ""2026-08-31""}",0.9,Paraf Kampanyaları Devam ediyor Bitiş Tarihi: ⟪31 Ağustos 2026⟫,,,
dunya_katilim-aeefe0c24788-p002,0,dunya_katilim,INDIRIM_ORANI,%15,"{""deger"": 15.0, ""birim"": ""yuzde""}",0.9,"⟪%15⟫ indirim satış anında mağazada uygulanacak olup, indirimli f",,,
dunya_katilim-270dd2fba958-p000,0,dunya_katilim,TAKSIT_SAYISI,8 taksit,"{""deger"": 8, ""birim"": ""adet""}",0.93,b sayfasından Paraf POS’larından yapacağınız alışverişlerde ⟪8 taksit⟫ imkanı sağlanacaktır.,,,
dunya_katilim-f2e8b1dedc22-p001,1,dunya_katilim,TAKSIT_SAYISI,6 taksit,"{""deger"": 6, ""birim"": ""adet""}",0.93,pya.com ’dan yapılacak taksitli alışverişinize vade farksız ⟪6 taksit⟫ imkanı sunulacaktır.,,,
dunya_katilim-120ed2e25ce8-p006,0,dunya_katilim,KAMPANYA_SURESI,31 Ağustos 2026,"{""tarih"": ""2026-08-31""}",0.9,Paraf Kampanyaları Devam ediyor Bitiş Tarihi: ⟪31 Ağustos 2026⟫,,,
dunya_katilim-be2f0be760c6-p006,0,dunya_katilim,KAMPANYA_SURESI,31 Ağustos 2026,"{""tarih"": ""2026-08-31""}",0.9,Paraf Kampanyaları Devam ediyor Bitiş Tarihi: ⟪31 Ağustos 2026⟫,,,
dunya_katilim-f790aae2ba01-p000,0,dunya_katilim,MASRAF_DURUMU,vade farksız,"{""metin"": ""vade farksız""}",0.95,si Demirdöküm sanal Pos’u üzerinden gerçekleşecek işlemlere ⟪vade farksız⟫ 9 ay taksit imkanı sunulacaktır.,,,
dunya_katilim-051a9296ca21-p000,0,dunya_katilim,TAKSIT_SAYISI,4 taksit,"{""deger"": 4, ""birim"": ""adet""}",0.93,r mağazalarında Paraf POS’larından yapılacak alışverişlerde ⟪4 taksit⟫ imkanı sunulacaktır.,,,
dunya_katilim-169c6a2afa64-p001,0,dunya_katilim,HARCAMA_ESIGI,600 TL ve üzeri,"{""deger"": 600.0, ""birim"": ""TRY""}",0.9,"Kampanya kapsamında ⟪600 TL ve üzeri⟫ alışverişlerde peşin fiyatına 2 taksit, 1.000 TL ve üzeri a",,,
dunya_katilim-169c6a2afa64-p001,5,dunya_katilim,TAKSIT_SAYISI,peşin fiyatına 6 taksit,"{""deger"": 6, ""birim"": ""adet""}",0.96,"e peşin fiyatına 3 taksit, 6.000 TL ve üzeri alışverişlerde ⟪peşin fiyatına 6 taksit⟫ fırsatından yararlanılabilir.",,,
dunya_katilim-729d16202a67-p009,0,dunya_katilim,KAMPANYA_SURESI,31 Ağustos 2026,"{""tarih"": ""2026-08-31""}",0.9,Kart Kampanyaları Devam ediyor Bitiş Tarihi: ⟪31 Ağustos 2026⟫,,,
dunya_katilim-4046b59632bf-p006,0,dunya_katilim,KAMPANYA_SURESI,01.01.2026-29.01.2026,"{""baslangic"": ""2026-01-01"", ""bitis"": ""2026-01-29""}",0.94,in kampanyanın başlamasından itibaren Paraf kredi kartı ile ⟪01.01.2026-29.01.2026⟫ tarihleri arasında toplam 1.000 TL ve üzeri harcama yapılma,,,
dunya_katilim-709b527c0979-p002,0,dunya_katilim,HEDEF_KITLE,yeni müşteriler,"{""metin"": ""yeni müşteriler""}",0.9,"Dünya Katılım, ⟪yeni müşteriler⟫ine özel yepyeni bir kampanya ile karşınızda!",,,
dunya_katilim-709b527c0979-p021,0,dunya_katilim,KAMPANYA_SURESI,01 Ocak 2026 tarihinde,"{""tarih"": ""2026-01-01""}",0.9,"👤 Kimler Kampanyadan Yararlanabilir? ⟪01 Ocak 2026 tarihinde⟫n itibaren, şubelerimizden veya görüntülü görüşme ile Dünya",,,
dunya_katilim-5ee3d820d5e7-p008,0,dunya_katilim,KAMPANYA_SURESI,31 Ağustos 2026,"{""tarih"": ""2026-08-31""}",0.9,Kart Kampanyaları Devam ediyor Bitiş Tarihi: ⟪31 Ağustos 2026⟫,,,
dunya_katilim-24a2f0088c5a-p000,0,dunya_katilim,HARCAMA_ESIGI,3.000 TL ve üzeri,"{""deger"": 3000.0, ""birim"": ""TRY""}",0.9,"nya Katılım TROY kartlarınızla, LC Waikiki’ den yapacağınız ⟪3.000 TL ve üzeri⟫ alışverişe anında 300 TL indirim fırsatı! Mağaza, lcw.com v",,,
dunya_katilim-24a2f0088c5a-p020,0,dunya_katilim,KAMPANYA_SURESI,15 Temmuz 2026,"{""tarih"": ""2026-07-15""}",0.9,Kart Kampanyaları Sona erdi Bitiş Tarihi: ⟪15 Temmuz 2026⟫,,,
dunya_katilim-bb3da47268a5-p005,0,dunya_katilim,MASRAF_DURUMU,masrafsız,"{""metin"": ""masrafsız""}",0.95,Kredi Kartı’nın yıllık kart ücreti bulunmamaktadır. Böylece ⟪masrafsız⟫ alışverişin keyfini çıkarabilirsiniz.,,,
dunya_katilim-26a530de5a88-p018,0,dunya_katilim,MASRAF_DURUMU,masrafsız,"{""metin"": ""masrafsız""}",0.95,"500 gram 1000 gram %0 (⟪masrafsız⟫) Ferah fiyatlar, 1 kg (1000 gram) has altın baz alınarak be",,,
hayat_finans-f99e5ff0e127-p011,0,hayat_finans,HARCAMA_ESIGI,1.000 TL ve üzeri,"{""deger"": 1000.0, ""birim"": ""TRY""}",0.9,"yapılacak net para transferi toplamının ⟪1.000 TL ve üzeri⟫ olması durumunda, 500 TL",,,
hayat_finans-5d87674d8392-p002,0,hayat_finans,KAMPANYA_SURESI,17 Temmuz – 17 Ağustos 2026,"{""tarih"": ""2026-08-17""}",0.94,📢 Kampanya Dönemi: ⟪17 Temmuz – 17 Ağustos 2026⟫,,,
hayat_finans-3cd5730120a6-p001,0,hayat_finans,TAKSIT_SAYISI,3 aya varan taksit,"{""deger"": 3, ""birim"": ""adet"", ""sinir"": ""ust""}",0.93,Hayat Finanslılara özel Troy mağazalarında ⟪3 aya varan taksit⟫ fırsatı Bana Bunu Al İş Ortağımda!,,,
hayat_finans-dc7ba4948d4b-p004,0,hayat_finans,INDIRIM_ORANI,%10,"{""deger"": 10.0, ""birim"": ""yuzde""}",0.9,⟪%10⟫ ila %50 arasında indirimlerden faydalanın. Size özel ayrıca,,,
hayat_finans-cf63a4ace2aa-p015,0,hayat_finans,KAMPANYA_SURESI,3 Aralık 2013 tarihinde,"{""tarih"": ""2013-12-03""}",0.9,⟪3 Aralık 2013 tarihinde⟫ yer alan Resmi Gazete’deki Yatırım kuruluşlarının kuruluş v,,,
hayat_finans-249295a1fe00-p016,1,hayat_finans,KAMPANYA_SURESI,27 Ocak 2024 tarihinde,"{""tarih"": ""2024-01-27""}",0.9,"alış emri yazılırsa, Ürün Hayat Finans Mobil uygulamanızda ⟪27 Ocak 2024 tarihinde⟫ görünür.",,,
hayat_finans-bba7225fe395-p001,0,hayat_finans,MASRAF_DURUMU,Vade farksız,"{""metin"": ""vade farksız""}",0.95,"⟪Vade farksız⟫, gelir belgesiz eğitim finansmanı fırsatı!",,,
hayat_finans-8230fc99e9e5-p036,0,hayat_finans,HARCAMA_ESIGI,85.000 TL ve üzeri,"{""deger"": 85000.0, ""birim"": ""TRY""}",0.9,"⟪85.000 TL ve üzeri⟫ Talimat Ver, Kazan Otomatik Fatura Ödemesi",,,
kuveyt_turk-41938519fb34-p021,0,kuveyt_turk,INDIRIM_ORANI,%1,"{""deger"": 1.0, ""birim"": ""yuzde""}",0.9,⟪%1⟫ indirimli KDV listesini incelemek için,,,
kuveyt_turk-b0edd42b36f6-p005,0,kuveyt_turk,KAMPANYA_SURESI,25 Haziran 2026 - 31 Aralık 2026,"{""baslangic"": ""2026-06-25"", ""bitis"": ""2026-12-31""}",0.94,Kampanyayı Keşfet Kampanya Aralığı: ⟪25 Haziran 2026 - 31 Aralık 2026⟫,,,
kuveyt_turk-b0edd42b36f6-p011,0,kuveyt_turk,KAMPANYA_SURESI,25 Haziran 2026 - 31 Aralık 2026,"{""baslangic"": ""2026-06-25"", ""bitis"": ""2026-12-31""}",0.94,Kampanyayı Keşfet Kampanya Aralığı: ⟪25 Haziran 2026 - 31 Aralık 2026⟫,,,
kuveyt_turk-b0edd42b36f6-p020,0,kuveyt_turk,HARCAMA_ESIGI,5.000 TL ve üzeri,"{""deger"": 5000.0, ""birim"": ""TRY""}",0.9,"QR ile ödeme de her ⟪5.000 TL ve üzeri⟫ harcamalarda %5 ekstra mil, toplamda 4.000 Mil kazanın!",,,
kuveyt_turk-b5cb2ca0d03e-p000,0,kuveyt_turk,KAMPANYA_SURESI,1 Ağustos 2026 - 31 Ağustos 2026,"{""baslangic"": ""2026-08-01"", ""bitis"": ""2026-08-31""}",0.94,Kendim İçin İşim İçin Kampanya Arşivi Kampanya Aralığı: ⟪1 Ağustos 2026 - 31 Ağustos 2026⟫,,,
kuveyt_turk-b5cb2ca0d03e-p003,0,kuveyt_turk,KAMPANYA_SURESI,30 Temmuz 2025 - 31 Aralık 2026,"{""baslangic"": ""2025-07-30"", ""bitis"": ""2026-12-31""}",0.94,Kampanyayı Keşfet Kampanya Aralığı: ⟪30 Temmuz 2025 - 31 Aralık 2026⟫,,,
kuveyt_turk-b5cb2ca0d03e-p007,1,kuveyt_turk,TAKSIT_SAYISI,4 Aya Varan Taksit,"{""deger"": 4, ""birim"": ""adet"", ""sinir"": ""ust""}",0.93,Colin’s’de Vade Farksız ⟪4 Aya Varan Taksit⟫ Fırsatı,,,
kuveyt_turk-b5cb2ca0d03e-p011,0,kuveyt_turk,KAMPANYA_SURESI,13 Ağustos 2026 - 31 Aralık 2026,"{""baslangic"": ""2026-08-13"", ""bitis"": ""2026-12-31""}",0.94,Kampanya Aralığı: ⟪13 Ağustos 2026 - 31 Aralık 2026⟫,,,
kuveyt_turk-b5cb2ca0d03e-p015,0,kuveyt_turk,MASRAF_DURUMU,Vade Farksız,"{""metin"": ""vade farksız""}",0.95,Altınyıldız Classics Resmi Web Sitesinde ⟪Vade Farksız⟫ 2 Taksit Fırsatı!,,,
