kayit_id,banka,baslik,url,onerilen_tur,guven,gerekce,metin_basi,ONAY_E_H,DUZELTILMIS_TUR,NOT
albaraka-905356593b63,albaraka,Ara Dönem Kâr Payı,https://www.albaraka.com.tr/tr/bireysel/hesaplar/katilma-hesaplari/ara-donem-kar-payi,Yatırım Ürünü Kampanyası,0.622,eslesen alanlar: breadcrumb,"Ara Dönem Kâr Payı Müşteri Ol Ara Dönem Kâr Payı Ödemeli Katılma Hesap ile 1 yıl vadeli olarak açtığınız hesaplarda tercihinize göre 1 aylık, 3 aylık veya 6 aylık dönemlerle kâr payı ödemeleri alabilirsiniz. Böylece hem",,,
albaraka-4c438cd4bddb,albaraka,Dijital Müşterilere Özel Pratik Finansman Kart,https://www.albaraka.com.tr/tr/kampanyalar/detay/dijital-musterilere-ozel-pratik-finansman-kart,Kart Kampanyası,0.645,"eslesen alanlar: url,baslik,govde","Dijital Müşterilere Özel Pratik Finansman Kart Kampanya Başlangıç ve Bitiş Müşteri Ol Vade farksız 40.000 TL ve uygun oranlı hoş geldin finansmanı Albaraka'da! Beyaz eşyadan eğitim ve sağlık harcamalarına, ev eşyalarına",,,
albaraka-b4030d83952a,albaraka,Eflatun Kredi Kart ile Kozmetik Harcamalarına 200 TL\u0027ye varan Wor,https://www.albaraka.com.tr/tr/kampanyalar/detay/eflatun-kredi-kart-ile-kozmetik-harcamalarina-200-tlye-varan-worldpuan,Alışveriş Puanı Kampanyası,0.738,"eslesen alanlar: url,baslik,govde",Eflatun Kredi Kart ile Kozmetik Harcamalarına 200 TL'ye varan Worldpuan! Kampanya Başlangıç ve Bitiş Eflatun Kredi Kart ile Kozmetik Harcamalarına 200 TL'ye varan Worldpuan! Eflatun kredi kartınız ile yapacağınız 500 TL,,,
albaraka-1795dc07077a,albaraka,Size Özel Kampanyaları Hemen Keşfedin!,https://www.albaraka.com.tr/tr/kampanyalar,Alışveriş Puanı Kampanyası,0.389,eslesen alanlar: govde,Kampanyalar Yeni Müşterilerimize Özel Vade Farksız 140.000 TL’ye Varan Destek! Kâr payı yok. Beklemek yok. 140.000 TL’ye kadar vade farksız destek Albaraka’da! Yeni Müşterilerimize Özel Ağustos Ayına Özel Fatura Kampanya,,,
albaraka-597c3001b957,albaraka,2026 | Albaraka Türk,https://www.albaraka.com.tr/tr/kampanyalar/detay/2026,Finansman Kampanyası,0.441,eslesen alanlar: govde,"Anketimize katılmak ister misiniz? Evet Hayır Alba Merhaba, ben Alba! Unutmayın, görüşmeniz boyunca vereceğiniz bilgiler kaydedilecek ve işlenecektir. Detaylı bilgi için Aydınlatma Metni ’ni inceleyebilirsiniz. Sizin içi",,,
albaraka-ea53872ed45c,albaraka,Albaraka World Kampanyaları,https://www.albaraka.com.tr/tr/world-dunyasi/kampanyalar,Alışveriş Puanı Kampanyası,0.535,eslesen alanlar: govde,"Albaraka World Kampanyaları Tüm Kampanyalar Taksit Kampanyaları Puan Kampanyaları İndirim Kampanyaları Arama (En az 3 karakter giriniz.) Setur'da 7.500 TL'ye varan Worldpuan! Setur’da tatilinizi planlayın, harcamalarınız",,,
albaraka-7b5a4d2abdc9,albaraka,Hazine Ürünlerimizle Döviz ve Kıymetli Maden Al-Sat,https://www.albaraka.com.tr/tr/bireysel/yatirim/hazine-urunleri,Yatırım Ürünü Kampanyası,0.88,"eslesen alanlar: url,breadcrumb,govde","Hazine Ürünleri Döviz Alım-Satım Cazip kur avantajıyla döviz alış ve satış işlemlerini gerçekleştirebilir, yatırımlarınızı farklı para birimlerine taşıyabilirsiniz. Kıymetli Maden Alım-Satım Albaraka Türk güvencesi ile k",,,
albaraka-a4c06e14cb90,albaraka,"Albaraka Mobil'de Şimdi ""Seçkin Fırsatlar"" Zamanı!",https://www.albaraka.com.tr/tr/kampanyalar/detay/seckin-firsatlar,Yeni Müşteri Kampanyası,0.504,eslesen alanlar: govde,"Albaraka Mobil'de Şimdi ""Seçkin Fırsatlar"" Zamanı! Kampanya Başlangıç ve Bitiş Müşteri Ol “Seçkin Fırsatlar” ile hayatın her alanından avantajlar sizi bekliyor! Albaraka Mobil’de şimdi Seçkin Fırsatlar ile havaalanından",,,
albaraka-b3d9d634601f,albaraka,Arzum’da %25 İndirim!,https://www.albaraka.com.tr/tr/kampanyalar/detay/arzumda-25-indirim,Diğer / Kampanya Değil,0.3,kampanya sayfasi ama tur belirlenemedi,"Arzum’da %25 İndirim! Arzum’da indirim Albaraka’da! Eviniz için seçkin ürünlerde özel ayrıcalıkları kaçırmayın. Nasıl Kullanılır? Albaraka Mobil’e giriş yapın, Kampanyalar sayfasından “Seçkin Fırsatlar Albaraka’da!” kamp",,,
albaraka-5e57b63efae4,albaraka,Eğitim Harcamalarınıza Vade Farksız 6 Taksit Kampanyası,https://www.albaraka.com.tr/tr/kampanyalar/detay/egitim-kampanyasi-1,Yeni Müşteri Kampanyası,0.369,eslesen alanlar: govde,"Eğitim Harcamalarınıza Vade Farksız 6 Taksit Kampanyası Kampanya Başlangıç ve Bitiş Müşteri Ol Albaraka Mobil'de Kampanyalar sayfasından kampanyaya katılım sağlayarak, World kartlarınız ile kampanyaya katıldıktan sonra y",,,
albaraka-2f91d0554cdd,albaraka,Kırtasiye Kampanyası,https://www.albaraka.com.tr/tr/kampanyalar/detay/kirtasiye-kampanyasi,Kart Kampanyası,0.346,eslesen alanlar: govde,"Kırtasiye Kampanyası Kampanya Başlangıç ve Bitiş 1.000 TL- 20.000 TL arası kırtasiye harcamalarınızda vade farksız 4 taksit fırsatını kaçırmayın! Kampanyaya Katılım Adımları: Albaraka Mobil üzerinden ""Kırtasiye Kampanyas",,,
albaraka-576990ead434,albaraka,Elektronik Ürün Senedi (ELÜS),https://www.albaraka.com.tr/tr/kobi/yatirim/elektronik-urun-senedi-elus,Yatırım Ürünü Kampanyası,0.637,"eslesen alanlar: url,breadcrumb,govde","Elektronik Ürün Senedi (ELÜS) ELÜS’lerinizi artık Albaraka Yatırım hesabında saklayabilir, ELÜS ihraç, alım-satım, ve iptal işlemlerinizi bankamız yatırım hesabıyla gerçekleştirebilirsiniz. Yatırım hesabımızı Albaraka İn",,,
albaraka-57c3b5fde148,albaraka,Vade Farksız 140.000 TL’ye Varan Destek!,https://www.albaraka.com.tr/tr/kampanyalar/detay/vade-farksiz-kampanyasi,İhtiyaç Finansmanı Kampanyası,0.409,eslesen alanlar: govde,"Vade Farksız 140.000 TL’ye Varan Destek! Kampanya Başlangıç ve Bitiş Müşteri Ol Kâr payı yok. Beklemek yok. 140.000 TL ’ye kadar vade farksız destek Albaraka’da! Şimdi Albaraka Mobil’den müşteri olanlar, %0 kâr payı ile",,,
albaraka-956cc78c9940,albaraka,Sermaye Piyasası Ürünleri,https://www.albaraka.com.tr/tr/bireysel/yatirim/sermaye-piyasasi-urunleri,Yatırım Ürünü Kampanyası,0.66,"eslesen alanlar: url,breadcrumb,govde",Sermaye Piyasası Ürünleri Kira Sertifikası (Sukuk) Albaraka Türk bünyesinde yatırım hesabı açabilir; tasarruflarınızı İnternet Şube üzerinden güncel oranlarla kira sertifikalarında değerlendirebilirsiniz. Hisse Senedi İş,,,
albaraka-03290cc71568,albaraka,Roamy eSIM’den %50 İndirim!,https://www.albaraka.com.tr/tr/kampanyalar/detay/roamy-esimden-50-indirim,Diğer / Kampanya Değil,0.3,kampanya sayfasi ama tur belirlenemedi,Roamy eSIM’den %50 İndirim! Yurtdışında internetsiz kalmamanız için %50 Roamy eSIM indirimi Albaraka Mobil’de. Kampanya Detayları 1 Ağustos – 31 Aralık 2025 tarihleri arasında ALBRK50 kodu ile Roamy eSIM siparişlerinizde,,,
albaraka-123679fd2f3a,albaraka,Albaraka Sadakat Programı,https://www.albaraka.com.tr/tr/kampanyalar/detay/albaraka-sadakat-programi,Alışveriş Puanı Kampanyası,0.389,eslesen alanlar: govde,"Albaraka Sadakat Programı Kampanya Başlangıç ve Bitiş Müşteri Ol Bankamızla kurduğunuz güçlü bağı ödüllendirmek için sizi özel bir dünyaya davet ediyoruz. Albaraka Sadakat Programı , bankacılık işlemlerinizden kazandığın",,,
albaraka-efff43972cf1,albaraka,Pocket eSIM’den %35 İndirim!,https://www.albaraka.com.tr/tr/kampanyalar/detay/pocket-esimden-35-indirim,Yeni Müşteri Kampanyası,0.504,eslesen alanlar: govde,Pocket eSIM’den %35 İndirim! Yurtdışında internetsiz kalmamanız için %35 Pocket eSIM indirimi Albaraka Mobil’de. Müşterimiz değilseniz hem masrafsız bankacılıktan faydalanmak hem de bunun gibi birçok avantajlı kampanya f,,,
albaraka-61d0904a0eca,albaraka,Havalara Uçuran Kampanya!,https://www.albaraka.com.tr/tr/kampanyalar/detay/albarakadan-ucuran-kampanya,Kart Kampanyası,0.346,eslesen alanlar: govde,"Havalara Uçuran Kampanya! Dijital Portföy Yönetimi müşterilerine özel kredi kartları ile yapacağı havayolu harcamalarında %10’u kadar, 2.000 TL’ ye varan iade kazanma fırsatı! Kampanyaya Katılım Adımları Albaraka Mobil ü",,,
albaraka-84561a7d12f7,albaraka,Madame Coco\u0027da 350 TL İndirim!,https://www.albaraka.com.tr/tr/kampanyalar/detay/madame-cocoda-350-tl-indirim,Diğer / Kampanya Değil,0.3,kampanya sayfasi ama tur belirlenemedi,"Madame Coco'da 350 TL İndirim! Madam Coco’da özel ayrıcalık. Albaraka ayrıcalığıyla seçkin ürünler sizi bekliyor. Nasıl Kullanılır? Albaraka Mobil’e giriş yapın, Kampanyalar sayfasından “Seçkin Fırsatlar Albaraka’da!” ka",,,
albaraka-22a6a07baf87,albaraka,Yakınını Davet Et Kampanyası,https://www.albaraka.com.tr/tr/kampanyalar/detay/yakinini-davet-et-kampanyasi,Yeni Müşteri Kampanyası,0.848,"eslesen alanlar: url,baslik,govde","Yakınını Davet Et Kampanyası Kampanya Başlangıç ve Bitiş Albaraka Türk'e müşteri olan her yakınınız için 500 TL, toplamda 5.000 TL'ye varan Worldpuan kazanın! Üstelik davet edilen yakınınınız da 500 TL Worldpuan kazanıyo",,,
albaraka-3e771c247998,albaraka,Macrocenter.com.tr\u0027de %10 İndirim!,https://www.albaraka.com.tr/tr/kampanyalar/detay/macrocentercomtrde-10-indirim,Diğer / Kampanya Değil,0.3,kampanya sayfasi ama tur belirlenemedi,"Macrocenter.com.tr'de %10 İndirim! Macrocenter.com.tr'de Albaraka müşterilerine özel ayrıcalıklar sizi bekliyor. Nasıl Kullanılır? Albaraka Mobil’e giriş yapın, Kampanyalar sayfasından “Seçkin Fırsatlar Albaraka’da!” kam",,,
albaraka-756af2fa7435,albaraka,Trend 4 GB İnternet Kampanyası,https://www.albaraka.com.tr/tr/kampanyalar/detay/trend-4-gb-internet-kampanyasi,Kart Kampanyası,0.346,eslesen alanlar: govde,"Trend 4 GB İnternet Kampanyası Kampanya Başlangıç ve Bitiş Neye ihtiyacın olduğunu en iyi Albaraka Türk bilir! Alışverişlerinde Trend Kredi Kartı’nı kullan, internet paketi hediyeni kap! Hem de bir kere değil, her ay kaz",,,
albaraka-0a485a5a7960,albaraka,Yolcu 360 – Yurt İçi Uçak Bileti,https://www.albaraka.com.tr/tr/kampanyalar/detay/yolcu-360-yurt-ici-ucak-bileti,Diğer / Kampanya Değil,0.3,kampanya sayfasi ama tur belirlenemedi,"Yolcu 360 – Yurt İçi Uçak Bileti Yola çıkmak artık çok kolay! Albaraka Mobil’den kampanya kodunuzu alın, yurt içi uçak bileti alımlarınızda özel indirim fırsatlarıyla konforlu ve avantajlı bir yolculuğa çıkın. Nasıl Kull",,,
albaraka-4c01cb2ffafa,albaraka,Döviz Alım-Satım,https://www.albaraka.com.tr/tr/bireysel/yatirim/hazine-urunleri/doviz-alim-satim,Yatırım Ürünü Kampanyası,0.88,"eslesen alanlar: url,breadcrumb,govde","Döviz Alım-Satım Cazip kur avantajıyla döviz alış ve satış işlemlerini gerçekleştirebilir, yatırımlarınızı farklı para birimlerine taşıyabilirsiniz. İnternet Bankacılığı’mız aracılığıyla döviz işlemlerinizi 7 gün 24 saat",,,
albaraka-713b6f854dc7,albaraka,Kahve Keyfiniz Albaraka’dan!,https://www.albaraka.com.tr/tr/kampanyalar/detay/2026/kahve-keyfiniz-albarakadan,Diğer / Kampanya Değil,0.3,kampanya sayfasi ama tur belirlenemedi,"Kahve Keyfiniz Albaraka’dan! Espressolab’de Elmas ve Platin müşterilerimize özel haftada 1 kahve hediyesi! Kampanyaya Katılım Adımları: Albaraka Mobil’e giriş yapın, Kampanyalar> ”Kahve Keyfiniz Albaraka’dan!” kampanyası",,,
albaraka-935275afc03c,albaraka,Yolcu 360 – Yurt Dışı Uçak Bileti,https://www.albaraka.com.tr/tr/kampanyalar/detay/yolcu-360-yurt-disi-ucak-bileti,Diğer / Kampanya Değil,0.3,kampanya sayfasi ama tur belirlenemedi,"Yolcu 360 – Yurt Dışı Uçak Bileti Yola çıkmak artık çok kolay! Albaraka Mobil’den kampanya kodunuzu alın, yurt dışı uçak bileti alımlarınızda özel indirim fırsatlarıyla konforlu ve avantajlı bir yolculuğa çıkın. Nasıl Ku",,,
albaraka-c0028e81db8a,albaraka,Hızlı döviz işlemleri sayesinde Albaraka Türk\u0027ün avantajlı döviz ,https://www.albaraka.com.tr/tr/kobi/yatirim/hazine-urunleri/hizli-doviz-islemleri,Yatırım Ürünü Kampanyası,0.88,"eslesen alanlar: url,breadcrumb,govde",Hızlı Döviz İşlemleri Yüksek hacimli işlemler yapıyorsanız Hızlı Döviz İşlemleri tam size göre. Mobil Bankacılığımız üzerinden Hızlı Döviz İşlemleri menüsüne erişebilmek için öncelikle en yakın şubemizden başvuru yapmanı,,,
albaraka-2d30cd9acf45,albaraka,Yoyo\u0027da %40 GastroClub İndirim!,https://www.albaraka.com.tr/tr/kampanyalar/detay/2026/yoyoda-40-gastroclub-indirim,Yeni Müşteri Kampanyası,0.504,eslesen alanlar: govde,Yoyo'da %40 GastroClub İndirim! Araç kiralamada %40 Albaraka indirimi! GastroClub kodunuzu almak için şimdi Albaraka Mobil > Kampanyalar > Seçkin Fırsatlar adımlarını izleyin. Nasıl Kullanılır? Kampanya kodu alınır. Yoyo,,,
albaraka-e37453130dd0,albaraka,Halka Arz Nedir?,https://www.albaraka.com.tr/tr/bireysel/yatirim/sermaye-piyasasi-urunleri/halka-arz,Yatırım Ürünü Kampanyası,0.847,"eslesen alanlar: url,breadcrumb,govde","Halka Arz Albaraka Türk Katılım Bankası ile katılım endeksine uygun halka arzlara katılmak artık çok kolay. ve İnternet Şube kanallarımız üzerinden güncel halk arzlara katılabilir, yatırım fırsatlarını anında değerlendir",,,
albaraka-a6e48ebc4145,albaraka,Akaryakıt Harcamalarınıza 1000 TL İndirim,https://www.albaraka.com.tr/tr/kampanyalar/akaryakit-harcamalariniza-1000-tl-indirim,Kart Kampanyası,0.346,eslesen alanlar: govde,"Akaryakıt Harcamalarınıza 1000 TL İndirim Siz de hemen Albaraka kredi kartı sahibi olun, Yapacağınız ilk 1.000 TL ve üstü akaryakıt harcamanıza 1.000 TL kazanın! Kampanya Koşulları: Kampanya, 1-31 Ağustos 2025 tarihleri",,,
albaraka-aa5d95d6862c,albaraka,Temmuz Ayına Özel Fatura Kampanyası,https://www.albaraka.com.tr/tr/kampanyalar/detay/temmuz-ayina-ozel-fatura-kampanyasi,Alışveriş Puanı Kampanyası,0.392,eslesen alanlar: govde,"Temmuz Ayına Özel Fatura Kampanyası Kampanya Başlangıç ve Bitiş Müşteri Ol “OFT2026” koduyla görüntülü görüşme ile müşterimiz olun, Albaraka World kredi kartınızla Albaraka Mobil üzerinden vereceğiniz her otomatik fatura",,,
albaraka-49ba76604dd4,albaraka,bilet.com Uçak Bileti Kampanyası,https://www.albaraka.com.tr/tr/kampanyalar/detay/2026/biletcom-ucak-bileti-kampanyasi,Kart Kampanyası,0.346,eslesen alanlar: govde,"bilet.com Uçak Bileti Kampanyası Siz de hemen Albaraka kredi kartları ile bilet.com mobil uygulaması üzerinden yurt içi ve yurt dışı uçak bileti alımı yapın, 700 TL’ye varan indirim kodu kazanın! Kampanyaya Katılım Adıml",,,
albaraka-5d387bdabe21,albaraka,Keyifli Konaklamanın Albaraka Hali!,https://www.albaraka.com.tr/tr/kampanyalar/detay/2026/konaklama-harcamaniza-10-indirim,Kart Kampanyası,0.346,eslesen alanlar: govde,Keyifli Konaklamanın Albaraka Hali! Dijital Portföy Yönetimi müşterilerine özel kredi kartları ile yapacağı 10.000 TL ve üzeri konaklama harcamasına %10 iade fırsatı! Kampanyaya Katılım Adımları Albaraka Mobil üzerinden,,,
albaraka-8cab2165f6a6,albaraka,The House Cafe\u0027lerde Tatlı İkramı!,https://www.albaraka.com.tr/tr/kampanyalar/detay/2026/the-house-cafelerde-tatli-ikrami,Diğer / Kampanya Değil,0.3,kampanya sayfasi ama tur belirlenemedi,"The House Cafe'lerde Tatlı İkramı! Tatlı ikramınız Albaraka’dan! GastroClub kodunuzu almak için şimdi Albaraka Mobil > Kampanyalar > Seçkin Fırsatlar adımlarını izleyin. Tatlı ikramı, ana yemek siparişi sonrasında geçerl",,,
albaraka-e641d498c1fe,albaraka,Uber\u0027de İlk Yolculukta %80 İndirim!,https://www.albaraka.com.tr/tr/kampanyalar/detay/2026/uberde-ilk-yolculukta-80-indirim,Diğer / Kampanya Değil,0.3,kampanya sayfasi ama tur belirlenemedi,Uber'de İlk Yolculukta %80 İndirim! Uber harcamalarınızda %80 indirim sizi bekliyor. GastroClub kodunuzu almak için şimdi Albaraka Mobil > Kampanyalar > Seçkin Fırsatlar adımlarını izleyin Nasıl Kullanılır? Eğer uygulama,,,
albaraka-37eff1531ee7,albaraka,Hızlı Çiçek %25 İndirim Kampanyası,https://www.albaraka.com.tr/tr/kampanyalar/detay/2026/hizli-cicek-25-indirim-kampanyasi,Diğer / Kampanya Değil,0.3,kampanya sayfasi ama tur belirlenemedi,"Hızlı Çiçek %25 İndirim Kampanyası Siz de hemen Hızlı Çiçek mobil uygulamasından sevdiklerinizi mutlu edecek hediyenizi seçin, %25 indirim kodunuzu kaçırmayın. Kampanyaya Katılım Adımları: Albaraka Mobil’e giriş yapın, K",,,
albaraka-77b4ebc21605,albaraka,Trend’lilere Tüm Banka ATM’leri Ücretsiz,https://www.albaraka.com.tr/tr/kampanyalar/detay/trendlilere-tum-banka-atmleri-ucretsiz,Kart Kampanyası,0.472,eslesen alanlar: govde,"Trend’lilere Tüm Banka ATM’leri Ücretsiz Kampanya Başlangıç ve Bitiş Albaraka Türk Trend Bankacılık, gençlerin hayatını kolaylaştırmaya devam ediyor. Trend Banka Kartı’na sahipsen tüm ATM’ler ücretsiz olarak hizmetinde!",,,
albaraka-fb5badc0959b,albaraka,Kıymetli Maden Alım-Satım,https://www.albaraka.com.tr/tr/bireysel/yatirim/hazine-urunleri/kiymetli-maden-alim-satim,Yatırım Ürünü Kampanyası,0.6,"eslesen alanlar: url,breadcrumb","Kıymetli Maden Alım-Satım Albaraka Türk güvencesi ile kıymetli maden alım satım işlemlerinizi yapabilirsiniz. Size en yakın şubelerimiz, ATM, Albaraka Mobil uygulamamız ve İnternet Şubemizden en uygun kurlarla kıymetli m",,,
albaraka-c21bd7bf1ea4,albaraka,Eflatun’lulara Tüm Banka ATM’leri Ücretsiz,https://www.albaraka.com.tr/tr/kampanyalar/detay/eflatunlulara-tum-banka-atmleri-ucretsiz,Kart Kampanyası,0.472,eslesen alanlar: govde,"Eflatun’lulara Tüm Banka ATM’leri Ücretsiz Kampanya Başlangıç ve Bitiş Albaraka Türk Eflatun Bankacılık, kadınların hayatını kolaylaştırmaya devam ediyor. Eflatun Banka Kartı’na sahipsen tüm ATM’ler ücretsiz olarak hizme",,,
albaraka-ff381e5e58e3,albaraka,İstanbul Havalimanı,https://www.albaraka.com.tr/tr/kampanyalar/detay/istanbul-havalimani-hizli-gecis-kampanyasi,Diğer / Kampanya Değil,0.3,kampanya sayfasi ama tur belirlenemedi,"İstanbul Havalimanı - Hızlı Geçiş Kampanyası Seyahatlerinizde konforu ve ayrıcalığı bir arada yaşayın! İstanbul Havalimanı’nda hızlı geçiş ayrıcalığı ile yolculuk öncesi vakit kaybetmeden geçişinizi yapın, seyahatinize k",,,
albaraka-230070c39aaa,albaraka,MTV Ödemelerinize Vade Farksız 3 Taksit!,https://www.albaraka.com.tr/tr/kampanyalar/detay/mtv-odemelerinize-vade-farksiz-3-taksit-10,Yeni Müşteri Kampanyası,0.369,eslesen alanlar: govde,"MTV Ödemelerinize Vade Farksız 3 Taksit! Kampanya Başlangıç ve Bitiş Müşteri Ol Motorlu Taşıtlar Vergisi (MTV) 2026 yılı 2. dönem ödemelerinizi, Albaraka Mobil, Albaraka İnternet Şubesi, Alo Albaraka (0850 222 5 666) Alb",,,
albaraka-02d0d4550f4b,albaraka,"Hisse Senedi Nedir, Nasıl Alınır?",https://www.albaraka.com.tr/tr/bireysel/yatirim/sermaye-piyasasi-urunleri/hisse-senedi-islemleri,Yatırım Ürünü Kampanyası,0.643,"eslesen alanlar: url,baslik,breadcrumb,govde","Hisse Senedi İşlemleri Hisse senedi, yurtiçi ve yurtdışı borsalarda işlem gören halka açık şirketlerin en küçük sermaye birimini temsil eden yatırım aracıdır. Sahip olduğunuz hisse senetleri yatırım yaptığınız şirkete ol",,,
albaraka-b279c1399fdd,albaraka,Kira Sertifikası (Sukuk),https://www.albaraka.com.tr/tr/bireysel/yatirim/sermaye-piyasasi-urunleri/kira-sertifikasi-sukuk,Yatırım Ürünü Kampanyası,0.644,"eslesen alanlar: url,baslik,breadcrumb,govde",Kira Sertifikası (Sukuk) Albaraka Mobil İndir Albaraka Türk Katılım Bankası A.Ş.’nin varlık kiralama şirketi Bereket VKŞ aracılığı ile ihraç ettiği Türk Lirası cinsi kira sertifikalarına hem şubelerimiz aracılığı ile hem,,,
albaraka-bd2f2e54fda4,albaraka,Sabiha Gökçen Havalimanı,https://www.albaraka.com.tr/tr/kampanyalar/detay/sabiha-gokcen-havalimani-hizli-gecis-kampanyasi,Diğer / Kampanya Değil,0.3,kampanya sayfasi ama tur belirlenemedi,"Sabiha Gökçen Havalimanı - Hızlı Geçiş Kampanyası Seyahatlerinizde konforu ve ayrıcalığı bir arada yaşayın! Sabiha Gökçen Havalimanı’nda hızlı geçiş ayrıcalığı ile yolculuk öncesi vakit kaybetmeden geçişinizi yapın, seya",,,
albaraka-f45a8acd8399,albaraka,Ücretsiz İSPARK Otopark Kampanyası | Albarakalılara Özel,https://www.albaraka.com.tr/tr/kampanyalar/detay/albarakalilara-ozel-ucretsiz-ispark-kampanyasi-1,Yeni Müşteri Kampanyası,0.504,eslesen alanlar: govde,"Ücretsiz İSPARK Otopark Kampanyası | Albarakalılara Özel Kampanya Başlangıç ve Bitiş Ücretsiz İSPARK Otopark kampanyası ile Albaraka Türk, hayatınızı kolaylaştırmaya devam ediyor. Albaraka Türk müşterisi olup, kampanya ş",,,
