pasaj_id,span_no,banka,etiket,yakalanan,normal_deger,guven,baglam,ONAY_E_H,DUZELTILMIS_ETIKET,NOT
albaraka-4c438cd4bddb-p036,0,albaraka,VADE_SURESI,3 ay,"{""deger"": 3, ""birim"": ""ay""}",0.85,(⟪3 ay⟫ ertelemeli) 13-36 ay vade *Görüntülü görüşme ile Albaraka’l,,,
albaraka-4c438cd4bddb-p036,1,albaraka,VADE_SURESI,36 ay,"{""deger"": 36, ""birim"": ""ay""}",0.85,(3 ay ertelemeli) 13-⟪36 ay⟫ vade *Görüntülü görüşme ile Albaraka’lı olan dijital müşter,,,
albaraka-4c438cd4bddb-p036,3,albaraka,FINANSMAN_TUTARI,40.000 TL,"{""deger"": 40000.0, ""birim"": ""TRY""}",0.8,"a’lı olan dijital müşterilerimize özel; vade farksız, azami ⟪40.000 TL⟫ limitli, 3 aya varan ödemesiz dönem ve 4 taksit imkânı ile",,,
albaraka-4c438cd4bddb-p037,0,albaraka,FINANSMAN_TUTARI,40.000 TL,"{""deger"": 40000.0, ""birim"": ""TRY""}",0.8,⟪40.000 TL⟫ ve 6 ay vade üzeri Pratik Finansman Kart başvurularında yuk,,,
albaraka-4c438cd4bddb-p037,1,albaraka,VADE_SURESI,6 ay,"{""deger"": 6, ""birim"": ""ay""}",0.85,40.000 TL ve ⟪6 ay⟫ vade üzeri Pratik Finansman Kart başvurularında yukarıdaki,,,
albaraka-4c438cd4bddb-p037,2,albaraka,FINANSMAN_TUTARI,150.000 TL'ye kadar,"{""deger"": 150000.0, ""birim"": ""TRY"", ""sinir"": ""ust""}",0.88,abloda belirtilen özel oran ve 36 aya varan vade imkânı ile ⟪150.000 TL'ye kadar⟫ finansman kullanılabilecektir.,,,
albaraka-4c438cd4bddb-p042,0,albaraka,HARCAMA_ESIGI,250 TL,"{""deger"": 250.0, ""birim"": ""TRY""}",0.8,"Pratik Finansman Kart ile asgari ⟪250 TL⟫, azami 150.000 TL finansman kullanılabilmektedir.",,,
albaraka-4c438cd4bddb-p042,1,albaraka,HARCAMA_ESIGI,150.000 TL,"{""deger"": 150000.0, ""birim"": ""TRY""}",0.8,"Pratik Finansman Kart ile asgari 250 TL, azami ⟪150.000 TL⟫ finansman kullanılabilmektedir.",,,
albaraka-4c438cd4bddb-p065,1,albaraka,VADE_SURESI,12 ay,"{""deger"": 12, ""birim"": ""ay""}",0.85,"ereği maksimum vadeler; 100.000 TL üzerindeki tutarlar için ⟪12 ay⟫, 50.000 TL – 100.000 TL aralığındaki tutarlar için 24 ay, 5",,,
albaraka-b4030d83952a-p000,0,albaraka,ALISVERIS_PUANI,200 TL'ye varan Worldpuan,"{""deger"": 200.0, ""birim"": ""TRY"", ""sinir"": ""ust""}",0.88,Eflatun Kredi Kart ile Kozmetik Harcamalarına ⟪200 TL'ye varan Worldpuan⟫!,,,
albaraka-b4030d83952a-p001,0,albaraka,ALISVERIS_PUANI,200 TL'ye varan Worldpuan,"{""deger"": 200.0, ""birim"": ""TRY"", ""sinir"": ""ust""}",0.88,ngıç ve Bitiş Eflatun Kredi Kart ile Kozmetik Harcamalarına ⟪200 TL'ye varan Worldpuan⟫!,,,
albaraka-b4030d83952a-p002,1,albaraka,ODUL_MIKTARI,50 TL,"{""deger"": 50.0, ""birim"": ""TRY""}",0.83,"ınız ile yapacağınız 500 TL ve üzeri kozmetik harcamalarına ⟪50 TL⟫, toplamda 200 TL Worldpuan kazanma fırsatı sizi bekliyor!",,,
albaraka-b4030d83952a-p002,2,albaraka,ALISVERIS_PUANI,200 TL Worldpuan,"{""deger"": 200.0, ""birim"": ""TRY""}",0.88,"ınız 500 TL ve üzeri kozmetik harcamalarına 50 TL, toplamda ⟪200 TL Worldpuan⟫ kazanma fırsatı sizi bekliyor!",,,
albaraka-b4030d83952a-p003,1,albaraka,ALISVERIS_PUANI,50 TL Worldpuan,"{""deger"": 50.0, ""birim"": ""TRY""}",0.88,öründe yapacağı tek seferdeki 500 TL ve üzeri işlemler için ⟪50 TL Worldpuan⟫ kazanımı sağlayacaklardır.,,,
albaraka-b4030d83952a-p004,0,albaraka,ALISVERIS_PUANI,200 TL Worldpuan,"{""deger"": 200.0, ""birim"": ""TRY""}",0.88,ilerimiz kampanya kapsamında içinde bulunulan ayda en fazla ⟪200 TL Worldpuan⟫ kazanabilirler.,,,
albaraka-1795dc07077a-p000,2,albaraka,FINANSMAN_TUTARI,140.000 TL’ye Varan,"{""deger"": 140000.0, ""birim"": ""TRY"", ""sinir"": ""ust""}",0.88,Kampanyalar Yeni Müşterilerimize Özel Vade Farksız ⟪140.000 TL’ye Varan⟫ Destek!,,,
albaraka-1795dc07077a-p001,1,albaraka,FINANSMAN_TUTARI,140.000 TL’ye kadar,"{""deger"": 140000.0, ""birim"": ""TRY"", ""sinir"": ""ust""}",0.88,Kâr payı yok. Beklemek yok. ⟪140.000 TL’ye kadar⟫ vade farksız destek Albaraka’da!,,,
albaraka-1795dc07077a-p003,0,albaraka,ODUL_MIKTARI,500 TL,"{""deger"": 500.0, ""birim"": ""TRY""}",0.83,"""OFT2026” davet kodu ile müşterimiz olun her fatura için ⟪500 TL⟫, toplamda 2.000 TL Worldpuan kazanın!",,,
albaraka-1795dc07077a-p003,1,albaraka,ALISVERIS_PUANI,2.000 TL Worldpuan,"{""deger"": 2000.0, ""birim"": ""TRY""}",0.88,"t kodu ile müşterimiz olun her fatura için 500 TL, toplamda ⟪2.000 TL Worldpuan⟫ kazanın!",,,
albaraka-1795dc07077a-p004,1,albaraka,ALISVERIS_PUANI,1.250 TL Worldpuan,"{""deger"": 1250.0, ""birim"": ""TRY""}",0.88,eni Müşterilerimize Özel Yurt Dışı Çıkış Harcı Kampanyası | ⟪1.250 TL Worldpuan⟫!,,,
albaraka-1795dc07077a-p007,0,albaraka,ODUL_MIKTARI,500 TL,"{""deger"": 500.0, ""birim"": ""TRY""}",0.83,"Albaraka Türk'e müşteri olan her yakınınız için ⟪500 TL⟫, toplamda 5.000 TL'ye varan Worldpuan kazanın!",,,
albaraka-1795dc07077a-p007,1,albaraka,ALISVERIS_PUANI,5.000 TL'ye varan Worldpuan,"{""deger"": 5000.0, ""birim"": ""TRY"", ""sinir"": ""ust""}",0.88,"aka Türk'e müşteri olan her yakınınız için 500 TL, toplamda ⟪5.000 TL'ye varan Worldpuan⟫ kazanın!",,,
albaraka-1795dc07077a-p013,0,albaraka,FINANSMAN_TUTARI,1.000 TL,"{""deger"": 1000.0, ""birim"": ""TRY""}",0.8,TROY kredi kartlarınız ile yapacağınız ⟪1.000 TL⟫- 100.000 TL arası sağlık harcamalarınıza vade farksız 6 tak,,,
albaraka-1795dc07077a-p013,1,albaraka,FINANSMAN_TUTARI,100.000 TL,"{""deger"": 100000.0, ""birim"": ""TRY""}",0.8,TROY kredi kartlarınız ile yapacağınız 1.000 TL- ⟪100.000 TL⟫ arası sağlık harcamalarınıza vade farksız 6 taksit fırsatı!,,,
albaraka-1795dc07077a-p015,0,albaraka,ODUL_MIKTARI,500.000 TL,"{""deger"": 500000.0, ""birim"": ""TRY""}",0.83,30.000-⟪500.000 TL⟫ arası tek çekim eğitim harcamalarınıza vade farksız 6 taksi,,,
albaraka-ea53872ed45c-p002,0,albaraka,ALISVERIS_PUANI,7.500 TL'ye varan Worldpuan,"{""deger"": 7500.0, ""birim"": ""TRY"", ""sinir"": ""ust""}",0.88,Arama (En az 3 karakter giriniz.) Setur'da ⟪7.500 TL'ye varan Worldpuan⟫!,,,
albaraka-ea53872ed45c-p003,0,albaraka,ALISVERIS_PUANI,7.500 TL’ye varan Worldpuan,"{""deger"": 7500.0, ""birim"": ""TRY"", ""sinir"": ""ust""}",0.88,harcamalarınız Worldpuan’a dönüşsün! Setur harcamalarınızda ⟪7.500 TL’ye varan Worldpuan⟫ kazanın!,,,
albaraka-ea53872ed45c-p004,0,albaraka,ALISVERIS_PUANI,7.500 TL’ye varan Worldpuan,"{""deger"": 7500.0, ""birim"": ""TRY"", ""sinir"": ""ust""}",0.88,TatilBudur'da ⟪7.500 TL’ye varan Worldpuan⟫!,,,
albaraka-ea53872ed45c-p005,0,albaraka,ALISVERIS_PUANI,7.500 TL’ye varan Worldpuan,"{""deger"": 7500.0, ""birim"": ""TRY"", ""sinir"": ""ust""}",0.88,"mdi yapın, Worldpuan’la kazancınızı katlayın! TatilBudur'da ⟪7.500 TL’ye varan Worldpuan⟫ kazanın!",,,
albaraka-ea53872ed45c-p006,0,albaraka,ALISVERIS_PUANI,1.000 TL’ye varan Worldpuan,"{""deger"": 1000.0, ""birim"": ""TRY"", ""sinir"": ""ust""}",0.88,Giyim ve Kozmetik Harcamalarınızda ⟪1.000 TL’ye varan Worldpuan⟫!,,,
albaraka-ea53872ed45c-p007,0,albaraka,ALISVERIS_PUANI,1.000 TL'ye varan Worldpuan,"{""deger"": 1000.0, ""birim"": ""TRY"", ""sinir"": ""ust""}",0.88,Giyim ve kozmetik alışverişleriniz kazanca dönüşsün! ⟪1.000 TL'ye varan Worldpuan⟫ kazanın!,,,
albaraka-ea53872ed45c-p008,0,albaraka,ALISVERIS_PUANI,7.500 TL’ye varan Worldpuan,"{""deger"": 7500.0, ""birim"": ""TRY"", ""sinir"": ""ust""}",0.88,TatilBudur'da ⟪7.500 TL’ye varan Worldpuan⟫!,,,
albaraka-ea53872ed45c-p009,0,albaraka,ALISVERIS_PUANI,7.500 TL’ye varan Worldpuan,"{""deger"": 7500.0, ""birim"": ""TRY"", ""sinir"": ""ust""}",0.88,"mdi yapın, Worldpuan’la kazancınızı katlayın! TatilBudur'da ⟪7.500 TL’ye varan Worldpuan⟫ kazanın!",,,
albaraka-ea53872ed45c-p010,0,albaraka,ALISVERIS_PUANI,7.500 TL'ye varan Worldpuan,"{""deger"": 7500.0, ""birim"": ""TRY"", ""sinir"": ""ust""}",0.88,"Setur'da ⟪7.500 TL'ye varan Worldpuan⟫! Setur’da tatilinizi planlayın, harcamalarınız Worldpuan’a",,,
albaraka-ea53872ed45c-p010,1,albaraka,ALISVERIS_PUANI,7.500 TL’ye varan Worldpuan,"{""deger"": 7500.0, ""birim"": ""TRY"", ""sinir"": ""ust""}",0.88,harcamalarınız Worldpuan’a dönüşsün! Setur harcamalarınızda ⟪7.500 TL’ye varan Worldpuan⟫ kazanın!,,,
