id,split,bank,title,url,old_is_campaign,is_campaign,old_product_type,suggested_product_type,final_product_type,status,confidence,reason
albaraka-b3d9d634601f,train,Albaraka Türk Katılım Bankası A.Ş.,Arzum’da %25 İndirim!,https://www.albaraka.com.tr/tr/kampanyalar/detay/arzumda-25-indirim,EVET,EVET,DIGER_KAMPANYA,DIGER_KAMPANYA,DIGER_KAMPANYA,ACCEPT,0.94,non_card_campaign
albaraka-5e57b63efae4,train,Albaraka Türk Katılım Bankası A.Ş.,Eğitim Harcamalarınıza Vade Farksız 6 Taksit Kampanyası,https://www.albaraka.com.tr/tr/kampanyalar/detay/egitim-kampanyasi-1,EVET,EVET,KART_KAMPANYASI,KART_KAMPANYASI,KART_KAMPANYASI,ACCEPT,0.96,confirmed_existing_card_campaign
albaraka-2f91d0554cdd,train,Albaraka Türk Katılım Bankası A.Ş.,Kırtasiye Kampanyası,https://www.albaraka.com.tr/tr/kampanyalar/detay/kirtasiye-kampanyasi,EVET,EVET,KART_KAMPANYASI,KART_KAMPANYASI,KART_KAMPANYASI,ACCEPT,0.96,confirmed_existing_card_campaign
albaraka-956cc78c9940,train,Albaraka Türk Katılım Bankası A.Ş.,Sermaye Piyasası Ürünleri,https://www.albaraka.com.tr/tr/bireysel/yatirim/sermaye-piyasasi-urunleri,HAYIR,HAYIR,YATIRIM_URUNU,YATIRIM_URUNU,YATIRIM_URUNU,ACCEPT,0.96,investment_product
albaraka-123679fd2f3a,train,Albaraka Türk Katılım Bankası A.Ş.,Albaraka Sadakat Programı,https://www.albaraka.com.tr/tr/kampanyalar/detay/albaraka-sadakat-programi,EVET,EVET,DIGER_KAMPANYA,DIGER_KAMPANYA,DIGER_KAMPANYA,ACCEPT,0.94,non_card_campaign
albaraka-efff43972cf1,train,Albaraka Türk Katılım Bankası A.Ş.,Pocket eSIM’den %35 İndirim!,https://www.albaraka.com.tr/tr/kampanyalar/detay/pocket-esimden-35-indirim,EVET,EVET,DIGER_KAMPANYA,DIGER_KAMPANYA,DIGER_KAMPANYA,ACCEPT,0.94,non_card_campaign
albaraka-84561a7d12f7,train,Albaraka Türk Katılım Bankası A.Ş.,Madame Coco\u0027da 350 TL İndirim!,https://www.albaraka.com.tr/tr/kampanyalar/detay/madame-cocoda-350-tl-indirim,EVET,EVET,DIGER_KAMPANYA,DIGER_KAMPANYA,DIGER_KAMPANYA,ACCEPT,0.94,non_card_campaign
albaraka-22a6a07baf87,train,Albaraka Türk Katılım Bankası A.Ş.,Yakınını Davet Et Kampanyası,https://www.albaraka.com.tr/tr/kampanyalar/detay/yakinini-davet-et-kampanyasi,EVET,EVET,KART_KAMPANYASI,KART_KAMPANYASI,KART_KAMPANYASI,ACCEPT,0.96,confirmed_existing_card_campaign
albaraka-3e771c247998,train,Albaraka Türk Katılım Bankası A.Ş.,Macrocenter.com.tr\u0027de %10 İndirim!,https://www.albaraka.com.tr/tr/kampanyalar/detay/macrocentercomtrde-10-indirim,EVET,EVET,DIGER_KAMPANYA,DIGER_KAMPANYA,DIGER_KAMPANYA,ACCEPT,0.94,non_card_campaign
albaraka-0a485a5a7960,train,Albaraka Türk Katılım Bankası A.Ş.,Yolcu 360 – Yurt İçi Uçak Bileti,https://www.albaraka.com.tr/tr/kampanyalar/detay/yolcu-360-yurt-ici-ucak-bileti,EVET,EVET,DIGER_KAMPANYA,DIGER_KAMPANYA,DIGER_KAMPANYA,ACCEPT,0.94,non_card_campaign
albaraka-935275afc03c,train,Albaraka Türk Katılım Bankası A.Ş.,Yolcu 360 – Yurt Dışı Uçak Bileti,https://www.albaraka.com.tr/tr/kampanyalar/detay/yolcu-360-yurt-disi-ucak-bileti,EVET,EVET,DIGER_KAMPANYA,DIGER_KAMPANYA,DIGER_KAMPANYA,ACCEPT,0.94,non_card_campaign
albaraka-c0028e81db8a,train,Albaraka Türk Katılım Bankası A.Ş.,"Hızlı döviz işlemleri sayesinde Albaraka Türk\u0027ün avantajlı döviz kurlarına erişebilir, mobil bankacılık üzerinden dilediğiniz işlemleri gerçekleştirebilirsiniz.",https://www.albaraka.com.tr/tr/kobi/yatirim/hazine-urunleri/hizli-doviz-islemleri,HAYIR,HAYIR,YATIRIM_URUNU,YATIRIM_URUNU,YATIRIM_URUNU,ACCEPT,0.96,investment_product
albaraka-2d30cd9acf45,train,Albaraka Türk Katılım Bankası A.Ş.,Yoyo\u0027da %40 GastroClub İndirim!,https://www.albaraka.com.tr/tr/kampanyalar/detay/2026/yoyoda-40-gastroclub-indirim,EVET,EVET,DIGER_KAMPANYA,DIGER_KAMPANYA,DIGER_KAMPANYA,ACCEPT,0.94,non_card_campaign
albaraka-e37453130dd0,train,Albaraka Türk Katılım Bankası A.Ş.,Halka Arz Nedir?,https://www.albaraka.com.tr/tr/bireysel/yatirim/sermaye-piyasasi-urunleri/halka-arz,HAYIR,HAYIR,YATIRIM_URUNU,YATIRIM_URUNU,YATIRIM_URUNU,ACCEPT,0.96,investment_product
albaraka-49ba76604dd4,train,Albaraka Türk Katılım Bankası A.Ş.,bilet.com Uçak Bileti Kampanyası,https://www.albaraka.com.tr/tr/kampanyalar/detay/2026/biletcom-ucak-bileti-kampanyasi,EVET,EVET,KART_KAMPANYASI,KART_KAMPANYASI,KART_KAMPANYASI,ACCEPT,0.96,confirmed_existing_card_campaign
albaraka-5d387bdabe21,train,Albaraka Türk Katılım Bankası A.Ş.,Keyifli Konaklamanın Albaraka Hali!,https://www.albaraka.com.tr/tr/kampanyalar/detay/2026/konaklama-harcamaniza-10-indirim,EVET,EVET,KART_KAMPANYASI,KART_KAMPANYASI,KART_KAMPANYASI,ACCEPT,0.96,confirmed_existing_card_campaign
albaraka-8cab2165f6a6,train,Albaraka Türk Katılım Bankası A.Ş.,The House Cafe\u0027lerde Tatlı İkramı!,https://www.albaraka.com.tr/tr/kampanyalar/detay/2026/the-house-cafelerde-tatli-ikrami,EVET,EVET,DIGER_KAMPANYA,DIGER_KAMPANYA,DIGER_KAMPANYA,ACCEPT,0.94,non_card_campaign
albaraka-77b4ebc21605,train,Albaraka Türk Katılım Bankası A.Ş.,Trend’lilere Tüm Banka ATM’leri Ücretsiz,https://www.albaraka.com.tr/tr/kampanyalar/detay/trendlilere-tum-banka-atmleri-ucretsiz,EVET,EVET,KART_KAMPANYASI,KART_KAMPANYASI,KART_KAMPANYASI,ACCEPT,0.96,confirmed_existing_card_campaign
albaraka-fb5badc0959b,train,Albaraka Türk Katılım Bankası A.Ş.,Kıymetli Maden Alım-Satım,https://www.albaraka.com.tr/tr/bireysel/yatirim/hazine-urunleri/kiymetli-maden-alim-satim,HAYIR,HAYIR,YATIRIM_URUNU,YATIRIM_URUNU,YATIRIM_URUNU,ACCEPT,0.96,investment_product
albaraka-c21bd7bf1ea4,train,Albaraka Türk Katılım Bankası A.Ş.,Eflatun’lulara Tüm Banka ATM’leri Ücretsiz,https://www.albaraka.com.tr/tr/kampanyalar/detay/eflatunlulara-tum-banka-atmleri-ucretsiz,EVET,EVET,KART_KAMPANYASI,KART_KAMPANYASI,KART_KAMPANYASI,ACCEPT,0.96,confirmed_existing_card_campaign
albaraka-ff381e5e58e3,train,Albaraka Türk Katılım Bankası A.Ş.,İstanbul Havalimanı,https://www.albaraka.com.tr/tr/kampanyalar/detay/istanbul-havalimani-hizli-gecis-kampanyasi,EVET,EVET,DIGER_KAMPANYA,DIGER_KAMPANYA,DIGER_KAMPANYA,ACCEPT,0.94,non_card_campaign
albaraka-230070c39aaa,train,Albaraka Türk Katılım Bankası A.Ş.,MTV Ödemelerinize Vade Farksız 3 Taksit!,https://www.albaraka.com.tr/tr/kampanyalar/detay/mtv-odemelerinize-vade-farksiz-3-taksit-10,EVET,EVET,KART_KAMPANYASI,KART_KAMPANYASI,KART_KAMPANYASI,ACCEPT,0.96,confirmed_existing_card_campaign
albaraka-02d0d4550f4b,train,Albaraka Türk Katılım Bankası A.Ş.,"Hisse Senedi Nedir, Nasıl Alınır?",https://www.albaraka.com.tr/tr/bireysel/yatirim/sermaye-piyasasi-urunleri/hisse-senedi-islemleri,HAYIR,HAYIR,YATIRIM_URUNU,YATIRIM_URUNU,YATIRIM_URUNU,ACCEPT,0.96,investment_product
albaraka-b279c1399fdd,train,Albaraka Türk Katılım Bankası A.Ş.,Kira Sertifikası (Sukuk),https://www.albaraka.com.tr/tr/bireysel/yatirim/sermaye-piyasasi-urunleri/kira-sertifikasi-sukuk,HAYIR,HAYIR,YATIRIM_URUNU,YATIRIM_URUNU,YATIRIM_URUNU,ACCEPT,0.96,investment_product
albaraka-bd2f2e54fda4,train,Albaraka Türk Katılım Bankası A.Ş.,Sabiha Gökçen Havalimanı,https://www.albaraka.com.tr/tr/kampanyalar/detay/sabiha-gokcen-havalimani-hizli-gecis-kampanyasi,EVET,EVET,DIGER_KAMPANYA,DIGER_KAMPANYA,DIGER_KAMPANYA,ACCEPT,0.94,non_card_campaign
albaraka-f45a8acd8399,train,Albaraka Türk Katılım Bankası A.Ş.,Ücretsiz İSPARK Otopark Kampanyası | Albarakalılara Özel,https://www.albaraka.com.tr/tr/kampanyalar/detay/albarakalilara-ozel-ucretsiz-ispark-kampanyasi-1,EVET,EVET,DIGER_KAMPANYA,DIGER_KAMPANYA,DIGER_KAMPANYA,ACCEPT,0.94,non_card_campaign
albaraka-7915da07cfc1,train,Albaraka Türk Katılım Bankası A.Ş.,404 | Albaraka Türk,https://www.albaraka.com.tr/tr/kampanyalar/detay/albaraka-restoran-harcamaniza-5-indirim-kazandiriyor,EVET,EVET,DIGER_KAMPANYA,DIGER_KAMPANYA,DIGER_KAMPANYA,ACCEPT,0.94,non_card_campaign
albaraka-315ad4281247,train,Albaraka Türk Katılım Bankası A.Ş.,Albaraka Restoran Harcamanıza %10 İndirim Kazandırıyor!,https://www.albaraka.com.tr/tr/kampanyalar/detay/albaraka-restoran-harcamaniza-5-indirimm-kazandiriyor,EVET,EVET,DIGER_KAMPANYA,DIGER_KAMPANYA,DIGER_KAMPANYA,ACCEPT,0.94,non_card_campaign
albaraka-478447c96eb0,train,Albaraka Türk Katılım Bankası A.Ş.,BES Teminatlı Finansman,https://www.albaraka.com.tr/tr/bireysel/finansmanlar/birikimlerinizi-koruyan-bes-teminatli-finansman-albarakada,HAYIR,HAYIR,DIGER_FINANSMAN,DIGER_FINANSMAN,DIGER_FINANSMAN,ACCEPT,0.88,other_finance
albaraka-91f1767949c4,train,Albaraka Türk Katılım Bankası A.Ş.,Aidat Ödeyen Hesap,https://www.albaraka.com.tr/tr/bireysel/finansmanlar/ihtiyac/kisa-sureli-ihtiyaclariniz-icin/aidat-odeyen-hesap,HAYIR,HAYIR,IHTIYAC_FINANSMANI,IHTIYAC_FINANSMANI,IHTIYAC_FINANSMANI,ACCEPT,0.97,personal_finance
albaraka-244e6d1126f7,train,Albaraka Türk Katılım Bankası A.Ş.,Fatura Ödeyen Hesap,https://www.albaraka.com.tr/tr/bireysel/finansmanlar/ihtiyac/kisa-sureli-ihtiyaclariniz-icin/fatura-odeyen-hesap,HAYIR,HAYIR,IHTIYAC_FINANSMANI,IHTIYAC_FINANSMANI,IHTIYAC_FINANSMANI,ACCEPT,0.97,personal_finance
albaraka-b4c348a4effc,train,Albaraka Türk Katılım Bankası A.Ş.,Özel Fon Havuzuna Dayalı Kira Sertifikası,https://www.albaraka.com.tr/tr/bireysel/yatirim/sermaye-piyasasi-urunleri/ozel-fon-havuzuna-dayali-kira-sertifikasi,HAYIR,HAYIR,YATIRIM_URUNU,YATIRIM_URUNU,YATIRIM_URUNU,ACCEPT,0.96,investment_product
albaraka-91226eb985c5,train,Albaraka Türk Katılım Bankası A.Ş.,Kobi Kartlar Kobilere Özel Fırsatlar Sunar,https://www.albaraka.com.tr/tr/kobi/kartlar,HAYIR,HAYIR,KART_URUNU,KART_URUNU,KART_URUNU,ACCEPT,0.97,card_product
albaraka-cb566f12a247,train,Albaraka Türk Katılım Bankası A.Ş.,Banka ve Kredi Kartlarından Size Özel Olanı Keşfedin,https://www.albaraka.com.tr/tr/bireysel/kartlar,HAYIR,HAYIR,DIGER_FINANSMAN,KART_URUNU,KART_URUNU,CORRECT,0.97,card_product
albaraka-66ebad55959d,train,Albaraka Türk Katılım Bankası A.Ş.,Bireysel Yatırım İmkanı ve Fırsatlarını Yakalayın,https://www.albaraka.com.tr/tr/bireysel/yatirim,HAYIR,HAYIR,YATIRIM_URUNU,YATIRIM_URUNU,YATIRIM_URUNU,MANUAL,0.99,manual_semantic_resolution
albaraka-0919ef9a7cd5,train,Albaraka Türk Katılım Bankası A.Ş.,Kobi Finansal Desteğiniz Albaraka\u0027da!,https://www.albaraka.com.tr/tr/kobi/finansmanlar,HAYIR,HAYIR,TICARI_FINANSMAN,TICARI_FINANSMAN,TICARI_FINANSMAN,ACCEPT,0.95,commercial_finance
albaraka-29d59dc3d664,train,Albaraka Türk Katılım Bankası A.Ş.,Finansmanlar,https://www.albaraka.com.tr/tr/bireysel/finansmanlar,HAYIR,HAYIR,DIGER_FINANSMAN,DIGER_FINANSMAN,DIGER_FINANSMAN,ACCEPT,0.88,other_finance
albaraka-f340ae79c829,train,Albaraka Türk Katılım Bankası A.Ş.,albaFX - Yurtdışı Hisse Senedi ve Fon Yatırımları Alım Satımı,https://www.albaraka.com.tr/tr/bireysel/yatirim/albafx,HAYIR,HAYIR,YATIRIM_URUNU,YATIRIM_URUNU,YATIRIM_URUNU,ACCEPT,0.96,investment_product
albaraka-974c724d43d4,train,Albaraka Türk Katılım Bankası A.Ş.,Platformlar,https://www.albaraka.com.tr/tr/bireysel/yatirim/platformlar,HAYIR,HAYIR,YATIRIM_URUNU,YATIRIM_URUNU,YATIRIM_URUNU,MANUAL,0.99,manual_semantic_resolution
albaraka-3a73682512d0,train,Albaraka Türk Katılım Bankası A.Ş.,İhtiyaç Finansmanı,https://www.albaraka.com.tr/tr/bireysel/finansmanlar/ihtiyac,HAYIR,HAYIR,IHTIYAC_FINANSMANI,IHTIYAC_FINANSMANI,IHTIYAC_FINANSMANI,ACCEPT,0.97,personal_finance
albaraka-c8ac2fdf39a6,train,Albaraka Türk Katılım Bankası A.Ş.,Tarım Bankacılığınız Hasılat Kart ile Daha Kolay,https://www.albaraka.com.tr/tr/kobi/tarim-bankaciligi/kartlar,HAYIR,HAYIR,KART_URUNU,KART_URUNU,KART_URUNU,ACCEPT,0.97,card_product
albaraka-b99c08b2f9cc,train,Albaraka Türk Katılım Bankası A.Ş.,Banka Kartları,https://www.albaraka.com.tr/tr/bireysel/kartlar/banka-kartlari,HAYIR,HAYIR,KART_URUNU,KART_URUNU,KART_URUNU,ACCEPT,0.97,card_product
albaraka-5c12f9ab739b,train,Albaraka Türk Katılım Bankası A.Ş.,Dijital Ekstre ile Doğaya Destek Ol,https://www.albaraka.com.tr/tr/bireysel/kartlar/dijital-ekstre,HAYIR,HAYIR,KART_URUNU,KART_URUNU,KART_URUNU,ACCEPT,0.97,card_product
albaraka-3538859544d4,train,Albaraka Türk Katılım Bankası A.Ş.,Bireysel Kredi Kartlarından Size En Uygun Olanı Seçin,https://www.albaraka.com.tr/tr/bireysel/kartlar/kredi-kartlari,HAYIR,HAYIR,DIGER_FINANSMAN,KART_URUNU,KART_URUNU,CORRECT,0.97,card_product
albaraka-00428198c3f7,train,Albaraka Türk Katılım Bankası A.Ş.,Yatırım Fonları,https://www.albaraka.com.tr/tr/bireysel/yatirim/yatirim-fonlari,HAYIR,HAYIR,YATIRIM_URUNU,YATIRIM_URUNU,YATIRIM_URUNU,ACCEPT,0.96,investment_product
albaraka-31f183e0fb81,train,Albaraka Türk Katılım Bankası A.Ş.,Bayide Finansman,https://www.albaraka.com.tr/tr/kobi/finansmanlar/bayide-finansman,HAYIR,HAYIR,TICARI_FINANSMAN,TICARI_FINANSMAN,TICARI_FINANSMAN,ACCEPT,0.95,commercial_finance
albaraka-7f9df6142c0a,train,Albaraka Türk Katılım Bankası A.Ş.,Bayi Kart ile Vadeli Satış Yapabilirsiniz,https://www.albaraka.com.tr/tr/kobi/kartlar/kobi-kartlari/bayi-kart,HAYIR,HAYIR,KART_URUNU,KART_URUNU,KART_URUNU,ACCEPT,0.97,card_product
albaraka-3c74d138452f,train,Albaraka Türk Katılım Bankası A.Ş.,Harcama İtiraz Formu,https://www.albaraka.com.tr/tr/bireysel/kartlar/harcama-itiraz-formu,HAYIR,HAYIR,KART_URUNU,KART_URUNU,KART_URUNU,ACCEPT,0.97,card_product
albaraka-8812c26c29e7,train,Albaraka Türk Katılım Bankası A.Ş.,Bayide Finansman ile Satış Hacminize Katkıda Bulunun,https://www.albaraka.com.tr/tr/bireysel/finansmanlar/bayide-finansman,HAYIR,HAYIR,DIGER_FINANSMAN,DIGER_FINANSMAN,DIGER_FINANSMAN,ACCEPT,0.88,other_finance
albaraka-a33eeb8e79c1,train,Albaraka Türk Katılım Bankası A.Ş.,Kobi Nakdi Finansman,https://www.albaraka.com.tr/tr/kobi/finansmanlar/kobi-nakdi-finansman,HAYIR,HAYIR,TICARI_FINANSMAN,TICARI_FINANSMAN,TICARI_FINANSMAN,ACCEPT,0.95,commercial_finance
albaraka-41a8828ec82d,train,Albaraka Türk Katılım Bankası A.Ş.,Trend Kartlar,https://www.albaraka.com.tr/tr/bireysel/trend-bankacilik/trend-kartlar,HAYIR,HAYIR,KART_URUNU,KART_URUNU,KART_URUNU,ACCEPT,0.97,card_product
albaraka-48da49745ae1,train,Albaraka Türk Katılım Bankası A.Ş.,Kredi Kartı Yaş Sınırı Nedir? | Albaraka Blog,https://www.albaraka.com.tr/tr/blog/detay/kredi-karti-yas-siniri-nedir,HAYIR,HAYIR,DIGER_FINANSMAN,DIGER,DIGER,CORRECT,0.98,editorial_or_reference_page
albaraka-93e8fd286e0a,train,Albaraka Türk Katılım Bankası A.Ş.,Findeks Kredi Notu Öğrenme,https://www.albaraka.com.tr/tr/bireysel/finansmanlar/kredi-notu-ogrenme,HAYIR,HAYIR,DIGER_FINANSMAN,DIGER_FINANSMAN,DIGER_FINANSMAN,ACCEPT,0.88,other_finance
albaraka-adf274803938,train,Albaraka Türk Katılım Bankası A.Ş.,Diğer Finansmanlar,https://www.albaraka.com.tr/tr/kobi/tarim-bankaciligi/diger-finansmanlar,HAYIR,HAYIR,TICARI_FINANSMAN,TICARI_FINANSMAN,TICARI_FINANSMAN,ACCEPT,0.95,commercial_finance
albaraka-3a4d4c0aba2c,train,Albaraka Türk Katılım Bankası A.Ş.,Kart Güvenliği,https://www.albaraka.com.tr/tr/dijital-bankacilik/guvenlik/kart-guvenligi,HAYIR,HAYIR,KART_URUNU,DIGER,DIGER,MANUAL,0.99,manual_semantic_resolution
albaraka-35128eccba8a,train,Albaraka Türk Katılım Bankası A.Ş.,Tarım Finansmanları,https://www.albaraka.com.tr/tr/kobi/tarim-bankaciligi/tarim-finansmanlari,HAYIR,HAYIR,TICARI_FINANSMAN,TICARI_FINANSMAN,TICARI_FINANSMAN,ACCEPT,0.95,commercial_finance
albaraka-7aadbf0bf374,train,Albaraka Türk Katılım Bankası A.Ş.,Eflatun Kredi Kartı ve Eflatun Banka Kartı,https://www.albaraka.com.tr/tr/bireysel/eflatun-bankacilik/eflatun-kartlar,HAYIR,HAYIR,DIGER_FINANSMAN,KART_URUNU,KART_URUNU,CORRECT,0.97,card_product
albaraka-4432cb9f7d53,train,Albaraka Türk Katılım Bankası A.Ş.,Jet Finansman,https://www.albaraka.com.tr/tr/bireysel/finansmanlar/ihtiyac/jet-finansman,HAYIR,HAYIR,IHTIYAC_FINANSMANI,IHTIYAC_FINANSMANI,IHTIYAC_FINANSMANI,ACCEPT,0.97,personal_finance
albaraka-e26d50b3cb09,train,Albaraka Türk Katılım Bankası A.Ş.,Çocuğunuzun Her Türlü İhtiyacı İçin Finansmanınız Yanınızda!- Albaraka Türk,https://www.albaraka.com.tr/tr/bireysel/finansmanlar/ihtiyac/cocugunuz-icin,HAYIR,HAYIR,IHTIYAC_FINANSMANI,IHTIYAC_FINANSMANI,IHTIYAC_FINANSMANI,ACCEPT,0.96,personal_finance_url
albaraka-bf4e2560a809,train,Albaraka Türk Katılım Bankası A.Ş.,Tatiliniz İçin,https://www.albaraka.com.tr/tr/bireysel/finansmanlar/ihtiyac/tatiliniz-icin,HAYIR,HAYIR,IHTIYAC_FINANSMANI,IHTIYAC_FINANSMANI,IHTIYAC_FINANSMANI,ACCEPT,0.96,personal_finance_url
albaraka-a31315069cd2,train,Albaraka Türk Katılım Bankası A.Ş.,Kredi Kartı Başvurusu,https://www.albaraka.com.tr/tr/bireysel/kartlar/kredi-kartlari/kart-basvuru,HAYIR,HAYIR,DIGER_FINANSMAN,KART_URUNU,KART_URUNU,CORRECT,0.97,card_product
albaraka-4b52586eb15d,train,Albaraka Türk Katılım Bankası A.Ş.,Katılım Finans Kefalet (KFK),https://www.albaraka.com.tr/tr/kobi/finansmanlar/katilim-finans-kefalet-kfk,HAYIR,HAYIR,TICARI_FINANSMAN,TICARI_FINANSMAN,TICARI_FINANSMAN,ACCEPT,0.95,commercial_finance
dunya_katilim-1ea4bfcd5302,train,Dünya Katılım Bankası A.Ş.,"Davet Et, Altın Kazan!",https://dunyakatilim.com.tr/kampanyalar/davetetkazan,EVET,EVET,YATIRIM_URUNU,DIGER_KAMPANYA,DIGER_KAMPANYA,CORRECT,0.94,non_card_campaign
dunya_katilim-9062423b0317,train,Dünya Katılım Bankası A.Ş.,Kip’te 5 Taksit Fırsatı!,https://dunyakatilim.com.tr/kampanyalar/kip,EVET,EVET,KART_KAMPANYASI,KART_KAMPANYASI,KART_KAMPANYASI,ACCEPT,0.96,confirmed_existing_card_campaign
dunya_katilim-0fbbcdee8806,train,Dünya Katılım Bankası A.Ş.,Hepsiburada'da Peşin Fiyatına 6 Aya Varan Taksit Fırsatı!,https://dunyakatilim.com.tr/kampanyalar/hepsiburada,EVET,EVET,KART_KAMPANYASI,KART_KAMPANYASI,KART_KAMPANYASI,ACCEPT,0.96,confirmed_existing_card_campaign
dunya_katilim-f93506e16846,train,Dünya Katılım Bankası A.Ş.,Paraf İle Zsa Zsa Zsu Mağazalarında 6 Taksit Fırsatı!,https://dunyakatilim.com.tr/kampanyalar/zsa-zsa-zsu,EVET,EVET,KART_KAMPANYASI,KART_KAMPANYASI,KART_KAMPANYASI,ACCEPT,0.96,confirmed_existing_card_campaign
dunya_katilim-082f9aa92fd4,train,Dünya Katılım Bankası A.Ş.,Altın Kazandıran Alışveriş Dünya Katılım’da !,https://dunyakatilim.com.tr/kampanyalar/altin-kesemTicari,EVET,EVET,YATIRIM_URUNU,DIGER_KAMPANYA,DIGER_KAMPANYA,CORRECT,0.94,non_card_campaign
dunya_katilim-fc927b76d445,train,Dünya Katılım Bankası A.Ş.,Paraf İle ADV Mağazalarında 6 Taksit Fırsatı!,https://dunyakatilim.com.tr/kampanyalar/adv,EVET,EVET,KART_KAMPANYASI,KART_KAMPANYASI,KART_KAMPANYASI,ACCEPT,0.96,confirmed_existing_card_campaign
dunya_katilim-f678aa1a136a,train,Dünya Katılım Bankası A.Ş.,Twist’te 4 Taksit Fırsatı!,https://dunyakatilim.com.tr/kampanyalar/twist,EVET,EVET,KART_KAMPANYASI,KART_KAMPANYASI,KART_KAMPANYASI,ACCEPT,0.96,confirmed_existing_card_campaign
dunya_katilim-2c67278ab727,train,Dünya Katılım Bankası A.Ş.,VAKKO’da 4 Taksit Fırsatı!,https://dunyakatilim.com.tr/kampanyalar/vakko,EVET,EVET,KART_KAMPANYASI,KART_KAMPANYASI,KART_KAMPANYASI,ACCEPT,0.96,confirmed_existing_card_campaign
dunya_katilim-e476ba0441ff,train,Dünya Katılım Bankası A.Ş.,Yataş’ta 8 Taksit Fırsatı!,https://dunyakatilim.com.tr/kampanyalar/yatas,EVET,EVET,KART_KAMPANYASI,KART_KAMPANYASI,KART_KAMPANYASI,ACCEPT,0.96,confirmed_existing_card_campaign
